"shapeid"|"x"|"y"
"0"|"-66.8063642839"|"-9.81453224572"
"0"|"-66.7806127663"|"-9.79139472769"
"0"|"-66.7772852217"|"-9.76865690137"
"0"|"-66.782173559"|"-9.75857464875"
"0"|"-66.7753951927"|"-9.75309214533"
"0"|"-66.7624579302"|"-9.75865939858"
"0"|"-66.7504442753"|"-9.75931775016"
"0"|"-66.725419733"|"-9.75607416621"
"0"|"-66.7013340696"|"-9.74336083642"
"0"|"-66.691831243"|"-9.73389166063"
"0"|"-66.6849725792"|"-9.7146482914"
"0"|"-66.6241903601"|"-9.68082135082"
"0"|"-66.609472505"|"-9.66490161105"
"0"|"-66.5863302082"|"-9.67356194126"
"0"|"-66.5770257203"|"-9.66743610615"
"0"|"-66.5513839439"|"-9.65771167377"
"0"|"-66.5369094254"|"-9.64355527095"
"0"|"-66.5006326085"|"-9.63356724121"
"0"|"-66.497100363"|"-9.62638056216"
"0"|"-66.4960386754"|"-9.61422081223"
"0"|"-66.4949361538"|"-9.60158550563"
"0"|"-66.4674882459"|"-9.58221632983"
"0"|"-66.4389581001"|"-9.55440130158"
"0"|"-66.4235932806"|"-9.52579208659"
"0"|"-66.3924284061"|"-9.50048373404"
"0"|"-66.3900661137"|"-9.45563418377"
"0"|"-66.3961227785"|"-9.43752385378"
"0"|"-66.4147367165"|"-9.42195351316"
"0"|"-66.4140647583"|"-9.41369821618"
"0"|"-66.4088733407"|"-9.40695209558"
"0"|"-66.3747904606"|"-9.42637163297"
"0"|"-66.3668193178"|"-9.42516636293"
"0"|"-66.3533192552"|"-9.41662413791"
"0"|"-66.3378331"|"-9.42731557365"
"0"|"-66.3189257963"|"-9.4199691921"
"0"|"-66.3136163401"|"-9.42607810305"
"0"|"-66.314868022"|"-9.43381923143"
"0"|"-66.3075079983"|"-9.43685008204"
"0"|"-66.2916732141"|"-9.43540065526"
"0"|"-66.284196237"|"-9.43216926847"
"0"|"-66.2904490117"|"-9.41249948965"
"0"|"-66.2678128111"|"-9.4097681243"
"0"|"-66.2596775042"|"-9.41100036042"
"0"|"-66.2434233008"|"-9.42939264957"
"0"|"-66.235313272"|"-9.4308798863"
"0"|"-66.2205648752"|"-9.42530933677"
"0"|"-66.204752316"|"-9.42597935957"
"0"|"-66.1736369314"|"-9.43442442201"
"0"|"-66.1590001983"|"-9.42658053334"
"0"|"-66.1543629502"|"-9.42047913558"
"0"|"-66.1292758972"|"-9.41085192304"
"0"|"-66.1238933739"|"-9.40878525844"
"0"|"-66.1162277894"|"-9.40898971362"
"0"|"-66.1011655165"|"-9.41401002393"
"0"|"-66.059740364"|"-9.41822425635"
